"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"2100","decomandat",86700,3,85,97,1,"mediu"
"2101","semidecomandat",74000,1,43,58,1,"mediu"
"2102","semidecomandat",167000,3,96,107,2,"mare"
"2103","semidecomandat",82000,2,56,64,1,"mediu"
"2104","decomandat",46000,3,60,75,1,"mic"
"2105","decomandat",62476,1,45,60,1,"mic"
"2106","semidecomandat",62000,2,48,52,1,"mic"
"2107","semidecomandat",68000,2,55,60,1,"mediu"
"2108","decomandat",84500,2,55,66,1,"mediu"
"2109","",73000,1,44,44,1,"mediu"
"2110","decomandat",45600,1,35,42,1,"mic"
"2111","decomandat",46900,2,53,60,1,"mic"
"2112","decomandat",869000,4,156,193,3,"mare"
"2113","semidecomandat",235000,3,113,134,2,"mare"
"2114","decomandat",570000,5,223,279,3,"mare"
"2115","decomandat",73625,2,49,90,1,"mediu"
"2116","decomandat",90500,2,78,93,2,"mediu"
"2117","semidecomandat",160000,2,66,80,2,"mare"
"2118","decomandat",255000,4,175,206,3,"mare"
"2119","semidecomandat",299900,5,137,164,2,"mare"
"2120","decomandat",114330,2,68,79,1,"mediu"
"2121","decomandat",83000,2,55,75,1,"mediu"
"2122","decomandat",137000,3,85,102,2,"mediu"
"2123","decomandat",330000,3,153,220,2,"mare"
"2124","semidecomandat",551327,4,137,254,3,"mare"
"2125","decomandat",99000,2,63,80,1,"mediu"
"2126","decomandat",54000,2,50,58,1,"mic"
"2127","decomandat",44300,2,49,55,1,"mic"
"2128","semidecomandat",146000,3,83,111,2,"mare"
"2129","",75000,1,38,42,1,"mediu"
"2130","decomandat",64813,1,42,52,1,"mic"
"2131","semidecomandat",299000,3,190,219,2,"mare"
"2132","decomandat",170000,3,97,119,2,"mare"
"2133","decomandat",97000,3,71,82,2,"mediu"
"2134","semidecomandat",240000,3,127,200,2,"mare"
"2135","decomandat",76700,2,47,57,1,"mediu"
"2136","decomandat",54000,2,56,67,1,"mic"
"2137","decomandat",139000,2,50,55,1,"mediu"
"2139","semidecomandat",83673,2,63,79,1,"mediu"
"2140","semidecomandat",39500,1,32,42,1,"mic"
"2141","decomandat",57920,2,51,62,1,"mic"
"2142","decomandat",89874,2,59,67,1,"mediu"
"2143","decomandat",43900,2,50,60,1,"mic"
"2144","decomandat",74900,3,70,77,1,"mediu"
"2146","semidecomandat",139900,2,64,88,1,"mediu"
"2147","decomandat",90000,3,74,92,2,"mediu"
"2148","decomandat",71600,2,60,66,1,"mediu"
"2149","decomandat",61360,3,78,96,2,"mic"
"2150","semidecomandat",49900,2,52,52,1,"mic"
"2151","decomandat",92626,3,71,82,2,"mediu"
"2152","semidecomandat",124900,4,108,130,1,"mediu"
"2153","decomandat",57600,2,57,67,1,"mic"
"2154","decomandat",48000,2,54,67,1,"mic"
"2155","decomandat",130000,3,87,95,2,"mediu"
"2156","",125000,2,60,64,1,"mediu"
"2157","decomandat",48000,2,53,67,1,"mic"
"2158","decomandat",109000,4,104,120,2,"mediu"
"2159","decomandat",78900,1,39,57,1,"mediu"
"2160","decomandat",160460,2,59,93,1,"mare"
"2161","decomandat",62500,3,60,65,1,"mic"
"2162","semidecomandat",79000,2,53,60,1,"mediu"
"2163","decomandat",58570,3,70,80,2,"mic"
"2164","circular",139000,3,86,110,2,"mediu"
"2165","semidecomandat",73278,2,47,53,1,"mediu"
"2166","decomandat",83000,2,56,70,1,"mediu"
"2168","decomandat",164000,3,70,80,1,"mare"
"2169","decomandat",93000,2,53,65,1,"mediu"
